iso3c,country,income_group,indicators_observed,overall_coverage,gini,inc_share_low20,poverty_215,sec_enrol_gross,tert_enrol_gross,sec_completion,adult_literacy,youth_literacy,gpi_sec,gpi_tert,edu_spend_gdp,gdp_pc_ppp,pop_total,work_age_share,gov_effect,voice_account,ctrl_corrup
MMR,Myanmar,Lower middle income,17,51.2,20.0,20.0,20.0,30.0,10.0,30.0,40.0,40.0,30.0,30.0,30.0,100.0,100.0,100.0,90.0,90.0,90.0
STP,Sao Tome and Principe,Lower middle income,17,49.4,10.0,10.0,10.0,30.0,10.0,30.0,10.0,10.0,30.0,30.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
SLB,Solomon Islands,Lower middle income,11,48.8,0.0,0.0,0.0,50.0,0.0,60.0,0.0,0.0,40.0,70.0,40.0,100.0,100.0,100.0,90.0,90.0,90.0
GIN,Guinea,Lower middle income,14,45.9,10.0,10.0,10.0,0.0,0.0,30.0,10.0,10.0,40.0,0.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
DJI,Djibouti,Lower middle income,13,44.1,10.0,10.0,10.0,0.0,0.0,30.0,0.0,10.0,70.0,0.0,40.0,100.0,100.0,100.0,90.0,90.0,90.0
NIC,Nicaragua,Lower middle income,12,42.4,0.0,0.0,0.0,10.0,10.0,20.0,0.0,0.0,10.0,10.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
COG,"Congo, Rep.",Lower middle income,10,41.8,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,20.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
HTI,Haiti,Lower middle income,9,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
BFA,Burkina Faso,Low income,17,76.5,20.0,20.0,20.0,100.0,100.0,100.0,50.0,40.0,100.0,100.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
RWA,Rwanda,Low income,17,74.1,20.0,20.0,20.0,90.0,90.0,90.0,30.0,40.0,90.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0
TGO,Togo,Low income,17,73.5,30.0,30.0,30.0,90.0,60.0,100.0,40.0,40.0,90.0,80.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
MDG,Madagascar,Low income,17,71.2,10.0,10.0,10.0,100.0,90.0,100.0,20.0,20.0,100.0,90.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
GMB,"Gambia, The",Low income,17,69.4,20.0,20.0,20.0,100.0,10.0,90.0,30.0,30.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
MWI,Malawi,Low income,17,67.6,20.0,20.0,20.0,100.0,50.0,70.0,30.0,30.0,100.0,90.0,50.0,100.0,100.0,100.0,90.0,90.0,90.0
SLE,Sierra Leone,Low income,16,67.6,10.0,10.0,10.0,100.0,0.0,90.0,40.0,40.0,90.0,100.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
NER,Niger,Low income,17,66.5,20.0,20.0,20.0,80.0,50.0,90.0,20.0,20.0,80.0,70.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
TCD,Chad,Low income,17,65.3,20.0,20.0,20.0,80.0,20.0,80.0,20.0,20.0,80.0,90.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
MOZ,Mozambique,Low income,17,63.5,20.0,20.0,20.0,70.0,40.0,70.0,40.0,40.0,70.0,40.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
BDI,Burundi,Low income,17,60.6,10.0,10.0,10.0,60.0,50.0,60.0,30.0,30.0,60.0,70.0,70.0,100.0,100.0,100.0,90.0,90.0,90.0
MLI,Mali,Low income,17,58.2,20.0,20.0,20.0,50.0,10.0,40.0,30.0,40.0,50.0,50.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
LBR,Liberia,Low income,14,54.1,10.0,10.0,10.0,60.0,0.0,60.0,0.0,0.0,60.0,50.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
AFG,Afghanistan,Low income,14,52.4,0.0,0.0,0.0,50.0,20.0,50.0,30.0,40.0,40.0,70.0,30.0,90.0,100.0,100.0,90.0,90.0,90.0
COD,"Congo, Dem. Rep.",Low income,17,50.6,10.0,10.0,10.0,30.0,20.0,30.0,40.0,30.0,10.0,40.0,60.0,100.0,100.0,100.0,90.0,90.0,90.0
SYR,Syrian Arab Republic,Low income,16,49.4,10.0,10.0,10.0,50.0,20.0,50.0,10.0,10.0,50.0,70.0,0.0,80.0,100.0,100.0,90.0,90.0,90.0
UGA,Uganda,Low income,14,48.8,20.0,20.0,20.0,0.0,0.0,20.0,40.0,40.0,20.0,0.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
CAF,Central African Republic,Low income,16,45.9,10.0,10.0,10.0,20.0,0.0,10.0,10.0,10.0,20.0,20.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
SDN,Sudan,Low income,11,45.3,0.0,0.0,0.0,50.0,10.0,40.0,0.0,0.0,50.0,50.0,0.0,100.0,100.0,100.0,90.0,90.0,90.0
SOM,"Somalia, Fed. Rep.",Low income,10,40.0,0.0,0.0,0.0,10.0,0.0,0.0,20.0,20.0,0.0,0.0,60.0,100.0,100.0,100.0,90.0,90.0,90.0
ERI,Eritrea,Low income,10,39.4,0.0,0.0,0.0,40.0,20.0,40.0,0.0,0.0,50.0,50.0,0.0,0.0,100.0,100.0,90.0,90.0,90.0
GNB,Guinea-Bissau,Low income,11,39.4,20.0,20.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,100.0,100.0,100.0,90.0,90.0,90.0
SSD,South Sudan,Low income,12,33.5,10.0,10.0,10.0,20.0,0.0,0.0,0.0,0.0,10.0,20.0,20.0,0.0,100.0,100.0,90.0,90.0,90.0
PRK,"Korea, Dem. People's Rep.",Low income,9,,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,100.0,100.0,90.0,90.0,90.0
YEM,"Yemen, Rep.",Low income,9,,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,100.0,100.0,90.0,90.0,90.0
ETH,Ethiopia,Not classified,16,54.1,20.0,20.0,20.0,20.0,0.0,30.0,40.0,40.0,20.0,40.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0
VEN,"Venezuela, RB",Not classified,11,43.5,0.0,0.0,0.0,60.0,0.0,60.0,30.0,30.0,30.0,60.0,0.0,0.0,100.0,100.0,90.0,90.0,90.0
