iso3c,country,income_group,adult_literacy,ctrl_corrup,edu_spend_gdp,gdp_pc_ppp,gini,gov_effect,gpi_sec,gpi_tert,inc_share_low20,pop_total,poverty_215,sec_completion,sec_enrol_gross,tert_enrol_gross,voice_account,work_age_share,youth_literacy,indicators_observed,overall_coverage
SVN,Slovenia,High income,0.0,0.9,0.8,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.0,15,0.8058823529411766
CYP,Cyprus,High income,0.0,0.9,0.7,1.0,0.9,0.9,0.6,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.9,1.0,0.0,15,0.8058823529411765
FRA,France,High income,0.0,0.9,0.6,1.0,0.9,0.9,0.7,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.9,1.0,0.0,15,0.8058823529411765
POL,Poland,High income,0.0,0.9,0.8,1.0,0.9,0.9,0.6,1.0,0.9,1.0,0.9,0.8,1.0,1.0,0.9,1.0,0.0,15,0.7999999999999999
CZE,Czechia,High income,0.0,0.9,0.8,1.0,0.9,0.9,0.7,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.0,15,0.7941176470588236
MLT,Malta,High income,0.0,0.9,0.6,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.0,15,0.7941176470588236
RUS,Russian Federation,High income,0.1,0.9,0.9,1.0,0.9,0.9,0.5,1.0,0.9,1.0,0.9,0.6,0.9,1.0,0.9,1.0,0.1,17,0.7941176470588235
USA,United States,High income,0.0,0.9,0.7,1.0,1.0,0.9,0.7,0.8,1.0,1.0,1.0,0.9,0.8,0.8,0.9,1.0,0.0,15,0.788235294117647
GRC,Greece,High income,0.0,0.9,0.5,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.8,0.9,1.0,0.0,15,0.7823529411764707
PRT,Portugal,High income,0.0,0.9,0.7,1.0,0.9,0.9,0.6,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.0,15,0.7823529411764707
CHL,Chile,High income,0.2,0.9,0.8,1.0,0.5,0.9,0.8,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.9,1.0,0.3,17,0.7823529411764706
KOR,"Korea, Rep.",High income,0.0,0.9,0.8,1.0,0.6,0.9,1.0,1.0,0.6,1.0,0.6,1.0,1.0,1.0,0.9,1.0,0.0,15,0.7823529411764706
DEU,Germany,High income,0.0,0.9,0.8,1.0,0.8,0.9,0.9,1.0,0.8,1.0,0.8,0.4,1.0,1.0,0.9,1.0,0.0,15,0.7764705882352941
HRV,Croatia,High income,0.0,0.9,0.5,1.0,0.9,0.9,0.6,0.9,0.9,1.0,0.9,0.8,0.9,0.9,0.9,1.0,0.0,15,0.7647058823529412
IRL,Ireland,High income,0.0,0.9,0.7,1.0,0.9,0.9,0.6,0.8,0.9,1.0,0.9,0.8,0.8,0.8,0.9,1.0,0.0,15,0.7588235294117647
GBR,United Kingdom,High income,0.0,0.9,0.7,1.0,0.7,0.9,0.8,0.9,0.7,1.0,0.7,0.7,0.8,0.9,0.9,1.0,0.0,15,0.7411764705882353
HUN,Hungary,High income,0.0,0.9,0.8,1.0,0.3,0.9,1.0,1.0,0.3,1.0,0.3,1.0,1.0,1.0,0.9,1.0,0.0,15,0.7294117647058824
ISL,Iceland,High income,0.0,0.9,0.8,1.0,0.5,0.9,0.9,0.9,0.5,1.0,0.5,0.8,0.9,0.9,0.9,1.0,0.0,15,0.7294117647058824
CAN,Canada,High income,0.0,0.9,0.8,1.0,0.8,0.9,0.7,0.9,0.8,1.0,0.8,0.0,0.9,0.9,0.9,1.0,0.0,14,0.723529411764706
QAT,Qatar,High income,0.5,0.9,0.3,1.0,0.1,0.9,0.9,1.0,0.1,1.0,0.1,1.0,1.0,1.0,0.9,1.0,0.5,17,0.7176470588235295
BRB,Barbados,High income,0.0,0.9,1.0,1.0,0.1,0.9,1.0,1.0,0.1,1.0,0.1,1.0,1.0,1.0,0.9,1.0,0.0,15,0.7058823529411766
