,gini,inc_share_low20,poverty_215,sec_enrol_gross,tert_enrol_gross,sec_completion,adult_literacy,youth_literacy,gpi_sec,gpi_tert,edu_spend_gdp,gdp_pc_ppp,pop_total,work_age_share,gov_effect,voice_account,ctrl_corrup
gini,0.9999999999999999,-0.9009766102832054,0.0896317343787992,-0.12596689653687715,-0.049561471200371236,-0.20769549185426994,-0.290507832295065,-0.4132347505564001,-0.09944475726938273,0.04913995105266688,0.23895026245272447,0.236890276268742,-0.1482726360824071,0.154610854256009,0.3186847511798299,0.5345263651187329,0.5890451864359981
inc_share_low20,-0.9009766102832054,1.0,0.09857973977606063,-0.09099931627087038,-0.32618480249789644,0.028611655266923042,-0.21946269130906873,0.01640724547597171,0.21257946990305565,0.12026533297981004,-0.22322837623943492,-0.5485424389011245,0.2550564510545701,-0.21936404463119177,-0.590929315074883,-0.6784269415701555,-0.7698211371254615
poverty_215,0.0896317343787992,0.09857973977606063,1.0,-0.7326687851526713,-0.6552200297537164,-0.522462204005613,-0.7859062922126924,-0.6820337322218708,0.2808078425409011,0.48493208844069274,-0.008650135263930832,-0.5627391775491375,0.036502180020099584,-0.7882694738381035,-0.47868139339381305,-0.3749701951936808,-0.22135647133300657
sec_enrol_gross,-0.12596689653687715,-0.09099931627087038,-0.7326687851526713,1.0,0.6152308890927378,0.23988046175655273,0.9116493476469015,0.766737098871334,-0.5377020176104528,-0.5723776950054389,-0.028146830722083058,0.5533971375589105,0.001077181021287848,0.7025437477548119,0.6340518891778342,0.3028869284387435,0.31842967153004387
tert_enrol_gross,-0.04956147120037122,-0.32618480249789644,-0.6552200297537163,0.6152308890927378,0.9999999999999999,0.41767836593583985,0.6130849744627628,0.49493445453472285,-0.3936729481815471,-0.45910346923426704,0.0545262123074299,0.8889879053932058,-0.09863180288641413,0.5778911929081165,0.7643452281807671,0.747593234879419,0.5424355323975043
sec_completion,-0.20769549185426994,0.028611655266923046,-0.522462204005613,0.23988046175655273,0.4176783659358398,1.0,0.3898468246226287,0.2189699626648288,-0.3892631489714134,-0.449041637188021,0.1863800806309189,0.2852423539155171,-0.2579139492654701,0.1346404111570335,0.2826626599419776,0.1725094095988271,0.20056708749426913
adult_literacy,-0.290507832295065,-0.21946269130906873,-0.7859062922126924,0.9116493476469014,0.6130849744627628,0.3898468246226287,1.0,0.9475782026141093,-0.5908490591331796,-0.6171633975700327,-0.15272233056696405,0.60903574950597,0.020026054594627956,0.7271591365285672,0.6344933244177543,0.2875680458470414,0.3010138350204108
youth_literacy,-0.4132347505564001,0.01640724547597171,-0.6820337322218708,0.766737098871334,0.49493445453472285,0.2189699626648288,0.9475782026141092,1.0,-0.32675549263677384,-0.3914311465305404,-0.2938617847445501,0.48006180909992324,0.16371007442554725,0.6727648529285941,0.46186499918196205,0.1474270783590853,0.11112485818655998
gpi_sec,-0.09944475726938273,0.21257946990305568,0.2808078425409011,-0.5377020176104528,-0.3936729481815471,-0.38926314897141345,-0.5908490591331796,-0.32675549263677384,1.0,0.7966512089951675,-0.46161703092855094,-0.35521094724156504,0.41895788068345924,-0.21309994508891406,-0.38671564984770246,-0.2671246825245024,-0.30785741772918845
gpi_tert,0.04913995105266688,0.12026533297981007,0.4849320884406927,-0.572377695005439,-0.45910346923426704,-0.449041637188021,-0.6171633975700328,-0.39143114653054034,0.7966512089951675,1.0,-0.21464231833571346,-0.36422972594118547,0.17710987501673356,-0.26567988999350595,-0.3891125883686429,-0.3102060187138252,-0.23892409464989825
edu_spend_gdp,0.23895026245272447,-0.22322837623943495,-0.008650135263930832,-0.02814683072208306,0.05452621230742989,0.18638008063091893,-0.15272233056696405,-0.2938617847445501,-0.46161703092855094,-0.21464231833571348,1.0,0.028224752593343207,-0.7771799911283948,-0.25244191565937096,-0.17563499598722507,0.08345923391172207,0.06103289407098497
gdp_pc_ppp,0.23689027626874204,-0.5485424389011244,-0.5627391775491375,0.5533971375589105,0.8889879053932057,0.2852423539155171,0.60903574950597,0.4800618090999232,-0.3552109472415651,-0.3642297259411854,0.028224752593343207,0.9999999999999999,-0.0677487557345888,0.6031976737769535,0.8111174078322658,0.7594329512985164,0.6308818667102274
pop_total,-0.14827263608240712,0.2550564510545701,0.03650218002009958,0.001077181021287848,-0.09863180288641413,-0.2579139492654701,0.020026054594627956,0.16371007442554725,0.41895788068345924,0.17710987501673356,-0.7771799911283949,-0.0677487557345888,0.9999999999999998,0.33717473068272535,0.007472090552707397,-0.01950086522944897,-0.2779758864944391
work_age_share,0.154610854256009,-0.2193640446311918,-0.7882694738381035,0.7025437477548119,0.5778911929081165,0.1346404111570335,0.7271591365285672,0.6727648529285941,-0.21309994508891406,-0.26567988999350595,-0.25244191565937096,0.6031976737769534,0.33717473068272535,1.0,0.6013738942057893,0.4123722431752397,0.2536655484758967
gov_effect,0.3186847511798299,-0.590929315074883,-0.478681393393813,0.6340518891778343,0.7643452281807669,0.28266265994197753,0.6344933244177543,0.4618649991819621,-0.38671564984770246,-0.3891125883686429,-0.17563499598722507,0.8111174078322657,0.007472090552707397,0.6013738942057893,1.0,0.7045510856583325,0.8359346262750001
voice_account,0.534526365118733,-0.6784269415701555,-0.37497019519368086,0.30288692843874343,0.747593234879419,0.1725094095988271,0.2875680458470414,0.1474270783590853,-0.2671246825245024,-0.31020601871382525,0.08345923391172207,0.7594329512985164,-0.019500865229448973,0.4123722431752397,0.7045510856583325,0.9999999999999999,0.7623821323407768
ctrl_corrup,0.5890451864359981,-0.7698211371254616,-0.22135647133300657,0.31842967153004387,0.5424355323975043,0.20056708749426913,0.3010138350204108,0.11112485818656,-0.30785741772918845,-0.23892409464989825,0.06103289407098497,0.6308818667102274,-0.2779758864944391,0.25366554847589673,0.8359346262750003,0.7623821323407768,1.0
