model,rmse_temp,mae_temp,r2_temp,n_train,n_test,rmse_loco_mean,mae_loco_mean,r2_loco_mean
Naive_LastObs,16.8235,7.0348,0.1595,71,32,27.6254,26.3096,-267.9787
Naive_Mean,19.4833,10.9106,-0.1272,71,32,17.0377,14.005,-22.7761
RandomForest,22.7784,14.6461,-0.5407,71,32,18.0763,15.2889,-46.153
Ridge,24.6125,16.6088,-0.7989,71,32,25.3496,22.5907,-137.2845
XGBoost,25.5136,15.8651,-0.933,71,32,21.8988,18.3815,-49.9609
