iso3c,country,income_group,year,gini,inc_share_low20,poverty_215,sec_enrol_gross,tert_enrol_gross,sec_completion,adult_literacy,youth_literacy,gpi_sec,gpi_tert,edu_spend_gdp,gdp_pc_ppp,pop_total,work_age_share,gov_effect,voice_account,ctrl_corrup
CRI,Costa Rica,High income,2015,48.4,4.3,2.4,88.40096282958984,51.2845802307129,93.9088134765625,,,0.9801599979400636,0.955269992351532,6.87349987030029,21254.7840932049,4818038.0,68.7112504393645,0.306554466485977,1.15161108970642,0.687055706977844
CRI,Costa Rica,High income,2016,48.7,4.2,2.4,89.59615325927734,51.6516418457031,93.75582122802734,,,0.979569971561432,0.9633100032806396,6.89395999908447,21925.6000803999,4866998.0,68.8045144876282,0.28387451171875,1.11790990829468,0.678310811519623
CRI,Costa Rica,High income,2017,48.3,4.4,1.7,86.21549987792969,54.4492301940918,93.52646636962892,,,0.9961199760437012,0.985539972782135,7.06981992721558,22622.5534502517,4913177.0,68.8412507833526,0.222521707415581,1.12175965309143,0.432391852140427
CRI,Costa Rica,High income,2018,48.0,4.3,2.3,90.9377670288086,52.6140899658203,94.3639907836914,,80.55,1.001129984855652,0.9936100244522096,6.76992988586426,23005.3121471794,4957818.0,68.8109769257363,0.352706402540207,1.11900758743286,0.50113844871521
CRI,Costa Rica,High income,2019,48.2,4.4,1.7,92.08570098876952,55.0202903747559,94.52715301513672,,,1.006940007209778,1.005789995193481,6.73809003829956,23364.783127574,4999553.0,68.7652107333185,0.347661405801773,1.09427237510681,0.626857101917267
CRI,Costa Rica,High income,2020,49.2,4.0,3.4,89.04206848144531,,94.26821136474608,,,1.003610014915466,1.018720030784607,6.62899017333984,22211.8613921698,5034320.0,68.778633459931,0.196500390768051,1.12029850482941,0.661411285400391
CRI,Costa Rica,High income,2021,48.7,4.3,2.2,91.43411254882812,,67.5881729125977,,,1.001860022544861,1.052049994468689,6.24842977523804,23852.9253020002,5059988.0,68.8374526616913,0.222867384552956,1.08030879497528,0.47030770778656
CRI,Costa Rica,High income,2022,47.2,4.5,1.6,95.22907257080078,,65.2705612182617,,,1.007060050964355,1.040179967880249,5.5472297668457,24831.7193480342,5081765.0,68.8983029418227,0.0526026673614979,1.07340776920319,0.465857774019241
CRI,Costa Rica,High income,2023,46.7,4.5,1.5,93.64320373535156,,62.2842102050781,,,1.000530004501343,1.016970038414001,5.31208992004395,25979.6286150717,5105525.0,68.9501697719461,0.260196477174759,1.0699063539505,0.653749406337738
CRI,Costa Rica,High income,2024,45.8,4.6,1.3,92.42777252197266,,61.3869781494141,,,0.9977099895477296,1.005579948425293,,26973.4361580719,5129910.0,68.9755668228098,,,
ESP,Spain,High income,2015,36.2,5.8,1.1,97.40596771240234,88.5305328369141,100.0,98.13999938964844,99.66000366210938,1.002060055732727,0.9648600220680236,4.24903011322021,43053.761430314,46422303.0,66.4614550787613,1.15725028514862,1.04487037658691,0.630986750125885
ESP,Spain,High income,2016,35.8,5.8,1.3,97.39114379882812,89.810791015625,100.0,98.25,99.62000274658205,1.001520037651062,0.9650999903678894,4.19327020645142,44274.6676149922,46458139.0,66.3143685616246,1.0948657989502,1.04160034656525,0.569826066493988
ESP,Spain,High income,2017,34.7,6.2,0.8,97.54405212402344,92.070182800293,100.0,98.34500122070312,99.67000198364258,1.00203001499176,0.975480020046234,4.17846012115479,45446.2508575695,46571232.0,66.1865982307919,1.00125849246979,1.02150094509125,0.510279893875122
ESP,Spain,High income,2018,34.7,6.2,1.0,97.71418762207033,92.5194931030273,100.0,98.44000244140624,99.72000122070312,1.002359986305237,0.9799500107765198,4.15045022964478,46325.2099441141,46782011.0,66.1319737035927,0.969246029853821,1.02963280677795,0.612778782844543
ESP,Spain,High income,2019,34.3,6.2,0.9,97.86363983154295,91.5387725830078,100.0,98.51499938964844,99.67000198364258,1.002079963684082,0.9857500195503236,4.20255994796753,46896.4171141424,47118501.0,66.1693765330282,0.968808770179749,1.03599870204926,0.666394531726837
ESP,Spain,High income,2020,34.9,6.0,1.1,97.92923736572266,91.59912109375,100.0,98.58999633789064,99.62000274658205,1.000599980354309,0.9841799736022948,4.85118007659912,41553.4477945675,47359424.0,66.2408766587242,0.853928565979004,1.00401437282562,0.711801946163177
ESP,Spain,High income,2021,33.9,6.4,0.7,98.03836822509766,95.3768997192383,100.0,99.6999969482422,99.7300033569336,0.999530017375946,0.9911999702453612,4.81316995620728,44251.6658222621,47443821.0,66.2783015470184,0.907896876335144,0.99951308965683,0.715437471866608
